綠景,聯通,訂戰略,合作,智慧,城區,,,,,,,,,,
工信部,去年,水泥,業營收,首次,破萬,億人幣,,,,,,,,,
報內,地三大,運營商,密集,發布,採購,大單,5G,建設,高速,展開,,,,,
美加,英歐,央行,採取,協調,行動,加強,全球,美元,流動性,供應,,,,,
大型,銀行,暫停,股份,回購,動用,資本,協助,客戶,疫情,,,,,,
工信部,去年,平板玻璃,行業,經濟,運行,總體,平穩,產量,保持,增長,,,,,
大興,機場,國際,進港,航班,全部,轉到,運行,,,,,,,,
世界,體育,大會,取消,,,,,,,,,,,,
本港,新增,新型,冠狀,病毒,病確,診個案,累計,,,,,,,,
信達,成功,發行,交易所,首單,架式,疫情,防控,利率,,,,,,,
農發行,全年,生豬,產業,貸款,新增,億人幣,以上,月底,完成,淨增,任務,,,,
醫藥,授權,開發針,疫苗,產品,,,,,,,,,,,
儲緊,減息,一厘,啟動,美元,,,,,,,,,,,
辰安,科技,集團,投資為,控股,股東,所持,股份,公開,徵集轉,,,,,,
國資委黨,委組織,實施國,資央企,抗疫,穩崗,擴就業,專項,行動,,,,,,,
中鋼協,鐵礦石,指數,走勢,偏離,基本面,波動,頻率,幅度,擴大,,,,,,
保監,鼓勵,銀行,加大,貿易,融資,抗疫,提供,信貸,支持,萬人幣,,,,,
人行,將多,措促,貸款,利率,明顯,下行,支持,經濟,發展,,,,,,
業務,增長,去年,淨利,翻倍,,,,,,,,,,,
亞洲,聯合,基建,作價,出售,太子,道物業,,,,,,,,,
全年,虧損,收窄,人民,,,,,,,,,,,,
預計,去年,虧損,大幅,減少,,,,,,,,,,,
博華,太平洋,毛利,全年,損料,,,,,,,,,,,
恒達,科技,全年,純利,人民,,,,,,,,,,,
首兩月,保費,收入,人民,,,,,,,,,,,,
完成,發行,人民,幣短,融券,利率,,,,,,,,,,
去年,虧損,收窄,美元,,,,,,,,,,,,
毛利率,下降,全年,少賺,,,,,,,,,,,,
週二起,訪南韓,其他,地區,歐洲,神根,人士,家居,檢疫,,,,,,,
央行,需要,可進,一步,減息,,,,,,,,,,,
疫情,影響,企業,提供,貸款,援助,至少,億歐元,,,,,,,,
美國將,入市,購油,提升,戰略,儲備,,,,,,,,,,
美股,走勢,反覆,收市,升近,,,,,,,,,,,
港股,預計,恆指,下周一,高開,,,,,,,,,,,
特朗普,宣布,進入,緊急,狀態,提供,美元,援助,,,,,,,,
賽伯樂國際,委任,總監,,,,,,,,,,,,,
去年,盈利,,,,,,,,,,,,,,
人行,定向,降準,增加,銀行,支持,實體,經濟,穩定,資金來源,每年,降低,付息,成本,億人幣,
人行,定向,降準,釋放長,期資金,人民,,,,,,,,,,
人行,定向,降準,釋放長,期資金,人民,,,,,,,,,,
印尼,宣布,禁止,口罩,出口,,,,,,,,,,,
金茂,酒店,附屬,發行,億人幣,期票,,,,,,,,,,
人保,旗下,子公司,首兩個,保費,收入,億人幣,按年,,,,,,,,
人保,旗下,子公司,首兩個,保費,收入,億人幣,按年,,,,,,,,
外匯,基金,境外,資產,增至,萬億元,,,,,,,,,,
景順籲,保持,投資,多元化,毋須,自亂,陣腳,,,,,,,,,
全日,深股,通錄,億人幣,流出,南向,流入,,,,,,,,,
認股證,大市,全日,成交,,,,,,,,,,,,
暫時,禁止,沽空,大部分,意大利,股票,,,,,,,,,,
中原,周跌,連跌,周共,,,,,,,,,,,,
中原,周跌,連跌,周共,,,,,,,,,,,,
保險,去年,新造,人壽業務,保費市,場份額,位列,第一,,,,,,,,
麥格理,下調,目標,價至,評級,中性,,,,,,,,,,
麥格理,下調,目標,價至,評級,中性,,,,,,,,,,
美股,期貨,反覆,指期,貨彈,,,,,,,,,,,
美股,期貨,反覆,指期,貨彈,,,,,,,,,,,
里昂,上調,評級,跑贏,大市,目標價,升至,,,,,,,,,
股市,波動率,將飆,升至,,,,,,,,,,,,
里昂,上調,目標,價至,評級,買入,,,,,,,,,,
大摩,相信,恆安國際,未來,天股,價將,上升,,,,,,,,,
大摩,相信,恆安國際,未來,天股,價將,上升,,,,,,,,,
瑞銀,財管,標指創,最快,跌入,熊市,記錄,恐慌,經濟,活動,受挫,將持續,惡化,月底,,
里昂,下調,目標,價至,評級,升至,買入,,,,,,,,,
人民,山設,生產,綜合,設施,,,,,,,,,,,
工信,部副,部長,加快,5G,網絡,物聯網,大數據,基礎,建設,,,,,,
瑞信,下調,目標,價至,評級,跑贏,大市,,,,,,,,,
南韓,總統,文在寅,當前,經濟,嚴峻,將採取,空前,應對,措施,,,,,,
新加坡,下周,一起,意大利,及德國,實施,入境,限制,,,,,,,,
湖北,荊州,下午,時起,將滬渝,高速,小北門,出入口,通行,,,,,,,
雲南,水務,聯合體,中標,廣東,英德,城鄉,污水,處理,項目,,,,,,
一文,了解,券商,公布,業績,最新,目標,價及,觀點,,,,,,,
半日,滬股,通錄,億人幣,流出,南向,流入,,,,,,,,,
保監,加大,信貸,投放,研究,考核,首貸率,,,,,,,,,
日本央行,擬再,進行,億日,圓國債,回購,,,,,,,,,,
日經,印度,及泰股,隨美,股期,貨續,,,,,,,,,,
歐盟,推遲,今年,銀行,壓力測,放寬,部分,資本,規定,,,,,,,
服務,網點,下周,一起,營業,,,,,,,,,,,
大摩對,汽車,最新,投資,評級,目標價,,,,,,,,,,
軟件,季績勝,預期,料業務受,疫情,影響,,,,,,,,,,
瑞信,下調,目標,價至,評級,跑贏,大市,,,,,,,,,
摩通降,評級,中性,目標,價下,調至,,,,,,,,,,
瑞信,下調,目標,價至,評級,跑贏,大市,,,,,,,,,
花旗,下調,目標,價至,評級,買入,,,,,,,,,,
大摩上,調恆安,目標,價至,評級,增持,,,,,,,,,,
文化,平開報,,,,,,,,,,,,,,
南韓,新增,宗新冠,確診,病例,累計,,,,,,,,,,
額外,發行,美元,優先票,,,,,,,,,,,,
特朗普,簽署,法案,禁美,電訊商,使用,華為,設備,,,,,,,,
港匯,回落,現貨,美電報,,,,,,,,,,,,
卓越,教育,集團,去年,經調,整純利,,,,,,,,,,
泰國,電商,平台,因有,商戶,高價,出售,口罩,遭罰,,,,,,,
保監,引導,機構,加大,深度,貧困,地區,資源,投入,,,,,,,
期金跌,失守,美元,,,,,,,,,,,,,
紐約期,油跌,布油,,,,,,,,,,,,,
本港,新增,新型,冠狀,病毒,病確,診個案,累計,,,,,,,,
預警,年績,由盈,轉虧,,,,,,,,,,,,
建投,完成,發行,人民,公司,五年,期票,,,,,,,,,
