2020-03-27 17:53:23.730583,連敬涵：長江生命科技（00775）有力再上,4
2020-03-30 15:07:40.677133,tester,0
2020-03-30 15:07:41.770025,tester,0
2020-03-30 15:07:48.442817,tester,0
2020-03-30 15:09:26.640082,tester,0
2020-03-30 15:13:18.774433,tester,0
2020-03-30 15:14:10.730614,tester,0
2020-03-30 15:16:27.557514,tester,0
2020-03-30 15:17:43.803296,tester,11
2020-03-30 15:20:25.754350,tester,0
2020-03-30 15:22:57.950607,tester,0
2020-03-30 15:36:16.979416,上期選股表現：2.1%股份推介：諾發集團（01360）目標價（元）：2.00止蝕價（元）：1.65上周收報（元）：1.80選股原因：中期業績扭虧為盈。本季擂台紀錄：冠軍0次、亞軍2次、季軍1次,4
2020-03-30 17:05:45.123408,tester,0
2020-03-30 17:06:27.226388,tester,0
2020-03-30 17:07:54.434442,tester,0
2020-03-30 17:09:16.214945,tester,0
2020-03-30 17:12:20.448928,tester,0
2020-03-30 17:13:18.320815,tester,0
2020-03-30 17:15:20.222951,tester,0
2020-03-30 17:16:00.623635,tester,16
2020-04-02 11:32:57.033172,股價上升,3
2020-04-02 11:33:10.810790,股價上調,8
2020-04-02 11:34:58.534900,股價上調,0
2020-04-02 11:35:42.535867,股價上調,0
2020-04-02 11:36:37.689579,股價上調,0
2020-04-02 11:37:21.381786,股價上升,0
2020-04-02 11:44:50.745984,股價上升,0
2020-04-02 11:47:06.996199,股價上升,0
2020-04-02 11:48:29.641618,股價上升,1
2020-04-02 16:58:46.556643,股價上升,5
2020-04-02 16:59:03.762829,股價上調,6
2020-04-02 17:54:58.565181,上調,3
2020-04-06 10:27:12.061833,上期選股表現：1.6%股份推介：佳兆業美好（02168）目標價（元）：32.00止蝕價（元）：25.00上周收報（元）：28.40選股原因：公司去年純利按年升203%至1.64億元，相信公司股價短期會因業務的高速增長而持續向上。本季擂台紀錄：冠軍0次、亞軍0次、季軍0次,3
2020-09-23 16:41:08.388857,股票上升,34
